p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}
0.86,BRFC_5_Fold_alpha_0_5_Hard_Test,925,1643,0.639797507788162,595552,5263,99051,13700,0.7224595264462375,0.12150668286755771,0.046678078243208486,0.026574976946771568
0.86,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,925,1643,0.639797507788162,595552,5263,99051,13700,0.7224595264462375,0.12150668286755771,0.046678078243208486,0.026574976946771568
0.89,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,901,1647,0.6463893249607535,595603,5212,99165,13586,0.7227364613256729,0.1204956053604846,0.04622575409530736,0.026343743956410478
0.9,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,917,1637,0.6409553641346907,595555,5260,99054,13697,0.7225299361713351,0.12148007556474,0.04665147094039077,0.0265665684743948
0.85,BRFC_5_Fold_alpha_balanced_Hard_Test,943,1561,0.6234025559105432,594854,5961,98323,14428,0.7076364706459365,0.12796338835132282,0.052868710698796464,0.028573390548316483
0.85,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,943,1561,0.6234025559105432,594854,5961,98323,14428,0.7076364706459365,0.12796338835132282,0.052868710698796464,0.028573390548316483
0.88,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,907,1513,0.6252066115702479,594890,5925,98362,14389,0.7083292310721669,0.12761749341469256,0.052549423064983905,0.028468284643606897
0.89,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,940,1560,0.624,594862,5953,98326,14425,0.707871233683384,0.12793678104850512,0.05279775789128256,0.028557975015625743
0.56,LogReg_5_Fold_alpha_0_5_Hard_Test,551,602,0.5221162185602776,595326,5489,104876,7875,0.5892696797366058,0.0698441698964976,0.04868249505547623,0.01872847080718532
0.6,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_100,540,572,0.5143884892086331,595018,5797,104529,8222,0.586489763891861,0.0729217479224131,0.051414178144761465,0.0196463957083157
0.72,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_98,398,450,0.5306603773584906,595347,5468,104897,7854,0.5895511184506831,0.0696579187767736,0.048496243935752234,0.018669611500547953
0.8,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_95,377,397,0.5129198966408268,595152,5663,104668,8083,0.5880256074494399,0.07168894289185905,0.050225718618903605,0.01926381021517281
0.88,LogReg_5_Fold_alpha_balanced_Hard_Test,1305,1290,0.49710982658959535,595138,5677,105054,7697,0.5755196650216838,0.06826546992931326,0.05034988603205293,0.018742484927813264
0.89,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_100,1261,1255,0.49880763116057236,595226,5589,105157,7594,0.5760449063187438,0.06735195253257177,0.0495694051494,0.01847481522381952
0.92,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_98,1087,1124,0.5083672546359114,595355,5460,105306,7445,0.5769081751259202,0.06603045649262534,0.04842529112823833,0.018085222670362656
0.94,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_95,1064,1070,0.5014058106841612,594902,5913,104841,7910,0.5722346813282211,0.07015458842937092,0.05244299385371305,0.019371718944007982
0.5,AdaBoost_5_Fold_Hard_Test,580549,100509,0.14757773934084908,590561,10254,100616,12135,0.5420072356961008,0.10762653989765057,0.09094376103094429,0.031376214673905424
0.71,AdaBoost_5_Fold_Hard_Test_Transformed_100,1095,1177,0.5180457746478874,594959,5856,104848,7903,0.5743876735227851,0.07009250472279625,0.05193745510017649,0.019282028571989136
0.82,AdaBoost_5_Fold_Hard_Test_Transformed_98,731,781,0.5165343915343915,594957,5858,104848,7903,0.574304193009229,0.07009250472279625,0.05195519330205497,0.019284831396114727
0.89,AdaBoost_5_Fold_Hard_Test_Transformed_95,594,651,0.5228915662650603,595366,5449,105309,7442,0.5773019936389729,0.06600384918980763,0.04832773101790672,0.018065602901483534
0.9,BalBag_5_Fold_Hard_Test,8757,11181,0.5607884441769485,597350,3465,105414,7337,0.6792260692464358,0.06507259359118767,0.03073143475445894,0.015138053102305883
0.9,BalBag_5_Fold_Hard_Test_Transformed_100,8757,11181,0.5607884441769485,597350,3465,105414,7337,0.6792260692464358,0.06507259359118767,0.03073143475445894,0.015138053102305883
0.9,BalBag_5_Fold_Hard_Test_Transformed_98,8757,11181,0.5607884441769485,597350,3465,105414,7337,0.6792260692464358,0.06507259359118767,0.03073143475445894,0.015138053102305883
0.9,BalBag_5_Fold_Hard_Test_Transformed_95,8757,11181,0.5607884441769485,597350,3465,105414,7337,0.6792260692464358,0.06507259359118767,0.03073143475445894,0.015138053102305883
0.55,EEC_5_Fold_Hard_Test,7575,6630,0.46673706441393875,596751,4064,108184,4567,0.5291391495771057,0.04050518398949898,0.036044026217062375,0.012095587513979085
0.73,EEC_5_Fold_Hard_Test_Transformed_100,952,935,0.4954954954954955,594908,5907,106249,6502,0.5239745346119752,0.05766689430692411,0.052389779248077625,0.0173901222872166
0.84,EEC_5_Fold_Hard_Test_Transformed_98,913,892,0.49418282548476455,594885,5930,106221,6530,0.5240770465489567,0.057915229133222765,0.052593768569680094,0.017461594302419118
0.92,EEC_5_Fold_Hard_Test_Transformed_95,910,903,0.4980694980694981,594908,5907,106249,6502,0.5239745346119752,0.05766689430692411,0.052389779248077625,0.0173901222872166
0.51,RUSBoost_5_Fold_Hard_Test,180137,75717,0.2959383085666044,600815,0,112751,0,,0.0,0.0,0.0
0.72,RUSBoost_5_Fold_Hard_Test_Transformed_100,1246,1218,0.4943181818181818,594709,6106,104433,8318,0.5766777592900721,0.07377318161257994,0.05415473033498594,0.02021396759374746
0.82,RUSBoost_5_Fold_Hard_Test_Transformed_98,722,782,0.5199468085106383,595243,5572,105061,7690,0.5798522093198613,0.0682033862227386,0.04941863043343296,0.018585526776780284
0.88,RUSBoost_5_Fold_Hard_Test_Transformed_95,666,662,0.49849397590361444,595039,5776,104805,7946,0.5790701063984842,0.07047387606318348,0.05122792702503747,0.019230176325665743
0.61,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test,480,662,0.5796847635726795,595300,5515,100754,11997,0.6850730927364094,0.10640260396803576,0.04891309167989641,0.02454152804365679
0.62,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_100,450,658,0.5938628158844765,595367,5448,100861,11890,0.6857769062175568,0.10545361016753732,0.04831886191696748,0.02429768234473055
0.72,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_98,378,564,0.5987261146496815,595346,5469,100836,11915,0.6854003681546249,0.10567533769101826,0.04850511303669147,0.024362147299619098
0.76,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_95,381,509,0.5719101123595506,595072,5743,100446,12305,0.6817929964539007,0.109134287057321,0.050935246694042625,0.025292684909314626
0.9,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test,1212,1538,0.5592727272727273,595618,5197,101806,10945,0.678044851939041,0.09707230977995761,0.046092717581218794,0.022621593517628363
0.9,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_100,1228,1541,0.5565185987721198,595235,5580,101293,11458,0.6724967719215871,0.1016221585617866,0.04948958324094686,0.02387725872589221
0.92,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_98,1189,1453,0.5499621498864496,594634,6181,100524,12227,0.6642220773576706,0.10844249718406045,0.05481991290542878,0.025797193251920637
0.94,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_95,1123,1379,0.5511590727418065,595457,5358,101576,11175,0.6759208855017238,0.0991122029959823,0.04752064283243607,0.023169545634181
0.56,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test,849,1117,0.5681586978636826,595121,5694,100698,12053,0.6791570406265848,0.10689927362063308,0.050500660748019975,0.02487085987841349
0.56,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_100,853,1122,0.5681012658227849,595108,5707,100686,12065,0.678876884987621,0.10700570283190393,0.050615959060230066,0.024905895179983352
0.76,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_98,566,739,0.5662835249042145,595073,5742,100620,12131,0.6787332848430594,0.10759106349389362,0.05092637759310339,0.025047437798325592
0.81,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_95,499,674,0.5745950554134698,595078,5737,100634,12117,0.6786714461745267,0.10746689608074429,0.0508820320884072,0.025020810969132497
0.54,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test,1254,1655,0.5689240288759023,595273,5542,100901,11850,0.6813477460901564,0.10509884612996781,0.04915255740525583,0.024373358596121452
0.6,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_100,1124,1505,0.5724610117915557,595137,5678,100749,12002,0.6788461538461539,0.10644694947273195,0.05035875513299217,0.024776965270206258
0.79,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_98,685,886,0.5639719923615532,595138,5677,100753,11998,0.6788118811881189,0.106411473068975,0.05034988603205293,0.024769958209892286
0.83,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_95,622,810,0.5656424581005587,595043,5772,100636,12115,0.6773075417901269,0.10744915787886582,0.05119245062128052,0.025067057567204714
0.57,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test,565,782,0.5805493689680772,595337,5478,101282,11469,0.6767569481324128,0.10171971867211821,0.04858493494514461,0.02374973022817791
0.57,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test_Transformed_100,596,787,0.5690527838033261,594951,5864,100748,12003,0.6717971679632843,0.10645581857367119,0.052008407907690395,0.025039029325948824
0.75,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test_Transformed_98,414,585,0.5855855855855856,595232,5583,101145,11606,0.675199255337716,0.10293478550079378,0.04951619054376458,0.024088871947374173
0.8,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test_Transformed_95,392,546,0.582089552238806,595232,5583,101141,11610,0.6752748211481416,0.10297026190455073,0.04951619054376458,0.02409447759562535
0.52,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test,709,877,0.5529634300126104,595437,5378,101537,11214,0.6758678881388621,0.09945809793261257,0.04769802485122083,0.023252228945885873
0.54,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test_Transformed_100,729,901,0.552760736196319,594859,5956,100821,11930,0.6670021245667002,0.10580837420510683,0.052824365194100276,0.025065656155141922
0.75,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test_Transformed_98,488,627,0.5623318385650224,595276,5539,101348,11403,0.6730610317554008,0.10113435801012852,0.049125950102438115,0.02374272316786394
0.8,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test_Transformed_95,463,565,0.5496108949416343,595089,5726,101095,11656,0.6705787596364055,0.10337824054775567,0.050784471978075583,0.024359344475493507
0.89,BRFC_5_Fold_alpha_0_5_Medium_Test,1234,1222,0.497557003257329,595432,5383,105585,7166,0.5710415172523707,0.063555977330578,0.04774237035591702,0.017586319976007826
0.89,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_100,1234,1222,0.497557003257329,595432,5383,105585,7166,0.5710415172523707,0.063555977330578,0.04774237035591702,0.017586319976007826
0.91,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_98,1205,1199,0.4987520798668885,594786,6029,104872,7879,0.566508484325568,0.06987964630025455,0.05347180956266463,0.019490838969345513
0.94,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_95,642,557,0.4645537948290242,594852,5963,104925,7826,0.5675538472695627,0.06940958395047495,0.05288644890067494,0.01932407093387297
0.9,BRFC_5_Fold_alpha_balanced_Medium_Test,1330,1194,0.47305863708399365,594685,6130,106133,6618,0.519140257295262,0.05869571001587569,0.054367588757527646,0.017865200976503924
0.9,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_100,1330,1194,0.47305863708399365,594685,6130,106133,6618,0.519140257295262,0.05869571001587569,0.054367588757527646,0.017865200976503924
0.93,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_98,1233,1096,0.47058823529411764,595081,5734,106336,6415,0.5280269981068401,0.05689528252521042,0.050855424785589486,0.017025755150890037
0.96,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_95,1156,1023,0.4694814134924277,595124,5691,106369,6382,0.5286175764101715,0.05660260219421557,0.05047405344520226,0.016919247834117655
0.5,LogReg_5_Fold_alpha_0_5_Medium_Test,669,659,0.49623493975903615,595336,5479,106865,5886,0.5179058512978443,0.052203528128353625,0.04859380404608385,0.01592704809365917
0.59,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_100,570,552,0.4919786096256685,595110,5705,106640,6111,0.5171800947867299,0.05419907583968213,0.05059822085835159,0.01655908493397948
0.8,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_98,388,365,0.4847277556440903,595209,5606,106728,6023,0.5179293146444234,0.053418594957029206,0.049720179865367045,0.016297020878236913
0.88,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_95,343,330,0.4903417533432392,595071,5744,106598,6153,0.5171892073632008,0.05457157807913012,0.05094411579498186,0.01667259931106583
0.85,LogReg_5_Fold_alpha_balanced_Medium_Test,1287,1194,0.48125755743651755,595747,5068,107314,5437,0.5175630652070443,0.04822130180663586,0.044948603560057115,0.014721833719655925
0.87,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_100,1212,1093,0.4741865509761388,595298,5517,106901,5850,0.5146476642913698,0.051884240494541066,0.048930829881774884,0.01592985091778476
0.93,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_98,997,935,0.4839544513457557,595257,5558,106878,5873,0.5137783221065524,0.052088229816143534,0.04929446302028363,0.016019541289803606
0.96,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_95,943,874,0.4810126582278481,595341,5474,106938,5813,0.5150172765128024,0.05155608375978927,0.04854945854138766,0.0158177379527612
0.5,AdaBoost_5_Fold_Medium_Test,595109,106736,0.15207916277810626,595175,5640,106739,6012,0.5159629248197735,0.05332103484669759,0.050021729297301136,0.016329253355681184
0.74,AdaBoost_5_Fold_Medium_Test_Transformed_100,1162,998,0.462037037037037,594790,6025,106373,6378,0.5142304281222285,0.05656712579045862,0.05343633315890768,0.01738171381483983
0.88,AdaBoost_5_Fold_Medium_Test_Transformed_98,669,642,0.4897025171624714,595256,5559,106855,5896,0.5147097337407246,0.05229221913774601,0.04930333212122287,0.016053175179310673
0.93,AdaBoost_5_Fold_Medium_Test_Transformed_95,639,567,0.4701492537313433,595149,5666,106698,6053,0.5165116477515146,0.05368466798520634,0.05025232592172132,0.016423147963888413
0.94,BalBag_5_Fold_Medium_Test,149,63,0.2971698113207547,595191,5624,107260,5491,0.49401709401709404,0.0487002332573547,0.049879823682273325,0.015576695077960553
0.94,BalBag_5_Fold_Medium_Test_Transformed_100,149,63,0.2971698113207547,595191,5624,107260,5491,0.49401709401709404,0.0487002332573547,0.049879823682273325,0.015576695077960553
0.94,BalBag_5_Fold_Medium_Test_Transformed_98,149,63,0.2971698113207547,595191,5624,107260,5491,0.49401709401709404,0.0487002332573547,0.049879823682273325,0.015576695077960553
0.94,BalBag_5_Fold_Medium_Test_Transformed_95,149,63,0.2971698113207547,595191,5624,107260,5491,0.49401709401709404,0.0487002332573547,0.049879823682273325,0.015576695077960553
0.54,EEC_5_Fold_Medium_Test,9970,6958,0.4110349716446125,593715,7100,106154,6597,0.4816383149594802,0.058509458896151695,0.0629706166685883,0.01919514102409588
0.75,EEC_5_Fold_Medium_Test_Transformed_100,1239,1061,0.461304347826087,595088,5727,107335,5416,0.4860450507044781,0.04803505068691187,0.05079334107901482,0.015615934615718799
0.92,EEC_5_Fold_Medium_Test_Transformed_98,676,695,0.5069292487235595,595141,5674,107382,5369,0.4861903468260437,0.04761820294276769,0.05032327872923522,0.01547579340943935
