,Neg,Pos,N/P,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
"(-0.001, 0.01]",379,1,379.00,379,"179,866",1,"33,824",5.32,0.16,1.00,1.00
"(0.01, 0.02]","1,634",9,181.56,"2,013","178,232",10,"33,815",5.27,0.16,1.00,0.99
"(0.02, 0.03]","3,299",32,103.09,"5,312","174,933",42,"33,783",5.18,0.16,1.00,0.97
"(0.03, 0.04]","4,688",56,83.71,"10,000","170,245",98,"33,727",5.05,0.17,1.00,0.95
"(0.04, 0.05]","5,738",119,48.22,"15,738","164,507",217,"33,608",4.89,0.17,0.99,0.93
"(0.05, 0.06]","6,552",144,45.50,"22,290","157,955",361,"33,464",4.72,0.17,0.99,0.89
"(0.06, 0.07]","7,119",233,30.55,"29,409","150,836",594,"33,231",4.54,0.18,0.98,0.86
"(0.07, 0.08]","7,483",301,24.86,"36,892","143,353",895,"32,930",4.35,0.19,0.97,0.82
"(0.08, 0.09]","7,521",353,21.31,"44,413","135,832","1,248","32,577",4.17,0.19,0.96,0.79
"(0.09, 0.1]","7,602",402,18.91,"52,015","128,230","1,650","32,175",3.99,0.20,0.95,0.75
"(0.1, 0.11]","7,497",439,17.08,"59,512","120,733","2,089","31,736",3.80,0.21,0.94,0.71
"(0.11, 0.12]","7,213",524,13.77,"66,725","113,520","2,613","31,212",3.64,0.22,0.92,0.68
"(0.12, 0.13]","7,093",537,13.21,"73,818","106,427","3,150","30,675",3.47,0.22,0.91,0.64
"(0.13, 0.14]","6,934",635,10.92,"80,752","99,493","3,785","30,040",3.31,0.23,0.89,0.61
"(0.14, 0.15]","6,630",674,9.84,"87,382","92,863","4,459","29,366",3.16,0.24,0.87,0.57
"(0.15, 0.16]","6,517",691,9.43,"93,899","86,346","5,150","28,675",3.01,0.25,0.85,0.54
"(0.16, 0.17]","5,901",740,7.97,"99,800","80,445","5,890","27,935",2.88,0.26,0.83,0.51
"(0.17, 0.18]","5,599",730,7.67,"105,399","74,846","6,620","27,205",2.75,0.27,0.80,0.48
"(0.18, 0.19]","5,381",752,7.16,"110,780","69,465","7,372","26,453",2.63,0.28,0.78,0.45
"(0.19, 0.2]","5,000",807,6.20,"115,780","64,465","8,179","25,646",2.51,0.28,0.76,0.42
"(0.2, 0.21]","4,721",767,6.16,"120,501","59,744","8,946","24,879",2.40,0.29,0.74,0.40
"(0.21, 0.22]","4,479",799,5.61,"124,980","55,265","9,745","24,080",2.30,0.30,0.71,0.37
"(0.22, 0.23]","4,271",749,5.70,"129,251","50,994","10,494","23,331",2.19,0.31,0.69,0.35
"(0.23, 0.24]","3,784",809,4.68,"133,035","47,210","11,303","22,522",2.10,0.32,0.67,0.33
"(0.24, 0.25]","3,723",794,4.69,"136,758","43,487","12,097","21,728",2.00,0.33,0.64,0.30
"(0.25, 0.26]","3,492",766,4.56,"140,250","39,995","12,863","20,962",1.91,0.34,0.62,0.28
"(0.26, 0.27]","3,260",827,3.94,"143,510","36,735","13,690","20,135",1.82,0.35,0.60,0.27
"(0.27, 0.28]","2,980",815,3.66,"146,490","33,755","14,505","19,320",1.75,0.36,0.57,0.25
"(0.28, 0.29]","2,782",786,3.54,"149,272","30,973","15,291","18,534",1.67,0.37,0.55,0.23
"(0.29, 0.3]","2,574",761,3.38,"151,846","28,399","16,052","17,773",1.60,0.38,0.53,0.22
"(0.3, 0.31]","2,386",713,3.35,"154,232","26,013","16,765","17,060",1.52,0.40,0.50,0.20
"(0.31, 0.32]","2,177",721,3.02,"156,409","23,836","17,486","16,339",1.46,0.41,0.48,0.19
"(0.32, 0.33]","2,052",705,2.91,"158,461","21,784","18,191","15,634",1.39,0.42,0.46,0.17
"(0.33, 0.34]","1,855",734,2.53,"160,316","19,929","18,925","14,900",1.34,0.43,0.44,0.16
"(0.34, 0.35]","1,723",628,2.74,"162,039","18,206","19,553","14,272",1.28,0.44,0.42,0.15
"(0.35, 0.36]","1,624",672,2.42,"163,663","16,582","20,225","13,600",1.22,0.45,0.40,0.14
"(0.36, 0.37]","1,458",667,2.19,"165,121","15,124","20,892","12,933",1.17,0.46,0.38,0.13
"(0.37, 0.38]","1,348",601,2.24,"166,469","13,776","21,493","12,332",1.12,0.47,0.36,0.12
"(0.38, 0.39]","1,180",554,2.13,"167,649","12,596","22,047","11,778",1.07,0.48,0.35,0.11
"(0.39, 0.4]","1,140",521,2.19,"168,789","11,456","22,568","11,257",1.02,0.50,0.33,0.11
"(0.4, 0.41]",989,553,1.79,"169,778","10,467","23,121","10,704",0.98,0.51,0.32,0.10
"(0.41, 0.42]",957,474,2.02,"170,735","9,510","23,595","10,230",0.93,0.52,0.30,0.09
"(0.42, 0.43]",849,558,1.52,"171,584","8,661","24,153","9,672",0.90,0.53,0.29,0.09
"(0.43, 0.44]",787,480,1.64,"172,371","7,874","24,633","9,192",0.86,0.54,0.27,0.08
"(0.44, 0.45]",719,458,1.57,"173,090","7,155","25,091","8,734",0.82,0.55,0.26,0.07
"(0.45, 0.46]",604,451,1.34,"173,694","6,551","25,542","8,283",0.79,0.56,0.24,0.07
"(0.46, 0.47]",599,449,1.33,"174,293","5,952","25,991","7,834",0.76,0.57,0.23,0.06
"(0.47, 0.48]",542,429,1.26,"174,835","5,410","26,420","7,405",0.73,0.58,0.22,0.06
"(0.48, 0.49]",482,393,1.23,"175,317","4,928","26,813","7,012",0.70,0.59,0.21,0.06
"(0.49, 0.5]",471,404,1.17,"175,788","4,457","27,217","6,608",0.67,0.60,0.20,0.05
"(0.5, 0.51]",422,359,1.18,"176,210","4,035","27,576","6,249",0.65,0.61,0.18,0.05
"(0.51, 0.52]",333,374,0.89,"176,543","3,702","27,950","5,875",0.63,0.61,0.17,0.04
"(0.52, 0.53]",347,357,0.97,"176,890","3,355","28,307","5,518",0.61,0.62,0.16,0.04
"(0.53, 0.54]",314,295,1.06,"177,204","3,041","28,602","5,223",0.58,0.63,0.15,0.04
"(0.54, 0.55]",272,276,0.99,"177,476","2,769","28,878","4,947",0.56,0.64,0.15,0.04
"(0.55, 0.56]",223,264,0.84,"177,699","2,546","29,142","4,683",0.54,0.65,0.14,0.03
"(0.56, 0.57]",227,297,0.76,"177,926","2,319","29,439","4,386",0.53,0.65,0.13,0.03
"(0.57, 0.58]",219,234,0.94,"178,145","2,100","29,673","4,152",0.51,0.66,0.12,0.03
"(0.58, 0.59]",214,232,0.92,"178,359","1,886","29,905","3,920",0.48,0.68,0.12,0.03
"(0.59, 0.6]",174,228,0.76,"178,533","1,712","30,133","3,692",0.46,0.68,0.11,0.03
"(0.6, 0.61]",176,222,0.79,"178,709","1,536","30,355","3,470",0.44,0.69,0.10,0.02
"(0.61, 0.62]",128,227,0.56,"178,837","1,408","30,582","3,243",0.43,0.70,0.10,0.02
"(0.62, 0.63]",135,222,0.61,"178,972","1,273","30,804","3,021",0.42,0.70,0.09,0.02
"(0.63, 0.64]",127,191,0.66,"179,099","1,146","30,995","2,830",0.40,0.71,0.08,0.02
"(0.64, 0.65]",103,212,0.49,"179,202","1,043","31,207","2,618",0.40,0.72,0.08,0.02
"(0.65, 0.66]",118,216,0.55,"179,320",925,"31,423","2,402",0.39,0.72,0.07,0.02
"(0.66, 0.67]",113,192,0.59,"179,433",812,"31,615","2,210",0.37,0.73,0.07,0.01
"(0.67, 0.68]",81,190,0.43,"179,514",731,"31,805","2,020",0.36,0.73,0.06,0.01
"(0.68, 0.69]",86,181,0.48,"179,600",645,"31,986","1,839",0.35,0.74,0.05,0.01
"(0.69, 0.7]",92,169,0.54,"179,692",553,"32,155","1,670",0.33,0.75,0.05,0.01
"(0.7, 0.71]",82,175,0.47,"179,774",471,"32,330","1,495",0.32,0.76,0.04,0.01
"(0.71, 0.72]",68,163,0.42,"179,842",403,"32,493","1,332",0.30,0.77,0.04,0.01
"(0.72, 0.73]",66,164,0.40,"179,908",337,"32,657","1,168",0.29,0.78,0.03,0.01
"(0.73, 0.74]",49,162,0.30,"179,957",288,"32,819","1,006",0.29,0.78,0.03,0.01
"(0.74, 0.75]",57,139,0.41,"180,014",231,"32,958",867,0.27,0.79,0.03,0.01
"(0.75, 0.76]",37,128,0.29,"180,051",194,"33,086",739,0.26,0.79,0.02,0.00
"(0.76, 0.77]",38,111,0.34,"180,089",156,"33,197",628,0.25,0.80,0.02,0.00
"(0.77, 0.78]",34,115,0.30,"180,123",122,"33,312",513,0.24,0.81,0.02,0.00
"(0.78, 0.79]",34,117,0.29,"180,157",88,"33,429",396,0.22,0.82,0.01,0.00
"(0.79, 0.8]",19,80,0.24,"180,176",69,"33,509",316,0.22,0.82,0.01,0.00
"(0.8, 0.81]",19,57,0.33,"180,195",50,"33,566",259,0.19,0.84,0.01,0.00
"(0.81, 0.82]",17,54,0.31,"180,212",33,"33,620",205,0.16,0.86,0.01,0.00
"(0.82, 0.83]",6,44,0.14,"180,218",27,"33,664",161,0.17,0.86,0.00,0.00
"(0.83, 0.84]",11,50,0.22,"180,229",16,"33,714",111,0.14,0.87,0.00,0.00
"(0.84, 0.85]",3,35,0.09,"180,232",13,"33,749",76,0.17,0.85,0.00,0.00
"(0.85, 0.86]",3,19,0.16,"180,235",10,"33,768",57,0.18,0.85,0.00,0.00
"(0.86, 0.87]",5,15,0.33,"180,240",5,"33,783",42,0.12,0.89,0.00,0.00
"(0.87, 0.88]",2,9,0.22,"180,242",3,"33,792",33,0.09,0.92,0.00,0.00
"(0.88, 0.89]",3,11,0.27,"180,245",0,"33,803",22,0.00,1.00,0.00,0.00
"(0.89, 0.9]",0,10,0.00,"180,245",0,"33,813",12,0.00,1.00,0.00,0.00
"(0.9, 0.91]",0,6,0.00,"180,245",0,"33,819",6,0.00,1.00,0.00,0.00
"(0.91, 0.92]",0,3,0.00,"180,245",0,"33,822",3,0.00,1.00,0.00,0.00
"(0.92, 0.93]",0,0,nan,"180,245",0,"33,822",3,0.00,1.00,0.00,0.00
"(0.93, 0.94]",0,1,0.00,"180,245",0,"33,823",2,0.00,1.00,0.00,0.00
"(0.94, 0.95]",0,1,0.00,"180,245",0,"33,824",1,0.00,1.00,0.00,0.00
"(0.95, 0.96]",0,0,nan,"180,245",0,"33,824",1,0.00,1.00,0.00,0.00
"(0.96, 0.97]",0,1,0.00,"180,245",0,"33,825",0,nan,nan,0.00,0.00
"(0.97, 0.98]",0,0,nan,"180,245",0,"33,825",0,nan,nan,0.00,0.00
"(0.98, 0.99]",0,0,nan,"180,245",0,"33,825",0,nan,nan,0.00,0.00
"(0.99, 1.0]",0,0,nan,"180,245",0,"33,825",0,nan,nan,0.00,0.00
