Model,TN,FP,FN,TP,p,AUC,Precision,Recall,F1,LinearTrans
BRFC_Hard_Tomek_0_r_target_Linear_Transform,141354,9417,16569,10052,0.695,0.798798469,0.516307977,0.377596634,0.436200304,TRUE
BRFC_Hard_Tomek_2_r_target_Linear_Transform,141342,9429,16571,10050,0.7045,0.799447385,0.515940243,0.377521506,0.436018917,TRUE
BRFC_Hard_Tomek_1_r_target_Linear_Transform,141385,9386,16667,9954,0.7045,0.79850815,0.514684591,0.37391533,0.433160095,TRUE
KBFC_Hard_Tomek_2_alpha_target_gamma_0_0_Linear_Transform,141522,9249,18052,8569,0.727598535,0.776408003,0.480918172,0.321888734,0.385662635,TRUE
KBFC_Hard_Tomek_0_alpha_target_gamma_0_5_Linear_Transform,141646,9125,18150,8471,0.633519632,0.776169754,0.481416231,0.31820743,0.383166216,TRUE
Bagging_Hard_Tomek_2_Linear_Transform,142798,7973,18478,8143,0.73,0.766471634,0.505274261,0.30588633,0.381085551,TRUE
KBFC_Hard_Tomek_1_alpha_target_gamma_1_0_Linear_Transform,142046,8725,18309,8312,0.605394685,0.776701327,0.487879321,0.312234702,0.380788346,TRUE
KBFC_Hard_Tomek_0_alpha_target_gamma_0_0_Linear_Transform,142020,8751,18310,8311,0.683800091,0.776075532,0.487105849,0.312197138,0.380524638,TRUE
KBFC_Hard_Tomek_1_alpha_target_gamma_0_0_Linear_Transform,142028,8743,18339,8282,0.683341398,0.776033176,0.486461086,0.311107772,0.379518342,TRUE
KBFC_Hard_Tomek_0_alpha_target_gamma_1_0_Linear_Transform,141856,8915,18305,8316,0.602909469,0.775698612,0.482618536,0.312384959,0.379286204,TRUE
KBFC_Hard_Tomek_1_alpha_target_gamma_0_5_Linear_Transform,142098,8673,18370,8251,0.638224656,0.775024397,0.487532498,0.309943278,0.378974786,TRUE
Bagging_Hard_Tomek_1_Linear_Transform,142936,7835,18668,7953,0.72,0.765137971,0.503737015,0.298749108,0.37507255,TRUE
KBFC_Hard_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,142424,8347,18565,8056,0.566264481,0.775412801,0.491129671,0.302618234,0.374499221,TRUE
KBFC_Hard_Tomek_1_alpha_target_gamma_2_0_Linear_Transform,142869,7902,18725,7896,0.576094387,0.775524842,0.499810102,0.296607941,0.372296655,TRUE
KBFC_Hard_Tomek_0_alpha_target_gamma_5_0_Linear_Transform,142611,8160,18700,7921,0.530206974,0.773545527,0.49256887,0.297547049,0.371000258,TRUE
Bagging_Hard_Tomek_0_Linear_Transform,143600,7171,19206,7415,0.7,0.763257023,0.508364184,0.278539499,0.359901163,TRUE
KBFC_Hard_Tomek_1_alpha_target_gamma_5_0_Linear_Transform,143491,7280,19254,7367,0.539250379,0.773029683,0.502969891,0.276736411,0.357042925,TRUE
LRC_Hard_Tomek_2_r_target_Linear_Transform,140887,9884,18895,7726,0.518066553,0.755173282,0.438727995,0.290222005,0.349358157,TRUE
LRC_Hard_Tomek_0_r_target_Linear_Transform,140936,9835,18934,7687,0.488099437,0.755148242,0.438705627,0.288756996,0.348287615,TRUE
LRC_Hard_Tomek_1_r_target_Linear_Transform,141105,9666,19017,7604,0.516349253,0.755176977,0.4403011,0.285639157,0.346505179,TRUE
RUSB_Hard_Tomek_0_Linear_Transform,141345,9426,19246,7375,0.500431605,0.754752888,0.438961966,0.277036926,0.33970007,TRUE
RUSB_Hard_Tomek_1_Linear_Transform,141668,9103,19403,7218,0.500448222,0.754824851,0.442252313,0.271139326,0.33618495,TRUE
RUSB_Hard_Tomek_2_Linear_Transform,141715,9056,19413,7208,0.500450903,0.754926597,0.443187407,0.270763683,0.336165416,TRUE
AdaBoost_Hard_Tomek_2_Linear_Transform,141628,9143,19414,7207,0.49858116,0.754169065,0.440795107,0.270726118,0.335446098,TRUE
AdaBoost_Hard_Tomek_1_Linear_Transform,141730,9041,19485,7136,0.498534033,0.754314902,0.441120109,0.268059051,0.333484122,TRUE
AdaBoost_Hard_Tomek_0_Linear_Transform,142185,8586,19754,6867,0.498356753,0.754041889,0.444379732,0.257954247,0.326435575,TRUE
EEC_Hard_Tomek_0_Linear_Transform,141584,9187,19975,6646,0.526268141,0.732809977,0.419756205,0.24965253,0.313102463,TRUE
BRFC_Medium_Tomek_0_r_target_Linear_Transform,142845,7926,20812,5809,0.771832945,0.726429906,0.42293411,0.218211187,0.287898818,TRUE
EEC_Hard_Tomek_2_Linear_Transform,143188,7583,20908,5713,0.528232304,0.732963752,0.429678098,0.214605011,0.28625507,TRUE
EEC_Hard_Tomek_1_Linear_Transform,143545,7226,21092,5529,0.527995115,0.733132495,0.433477067,0.207693175,0.280842203,TRUE
KBFC_Medium_Tomek_0_alpha_target_gamma_0_0_Linear_Transform,144007,6764,21446,5175,0.703059188,0.714450993,0.433453388,0.194395402,0.268424313,TRUE
LRC_Medium_Tomek_0_r_target_Linear_Transform,144331,6440,21974,4647,0.499330933,0.703559658,0.419139532,0.174561436,0.246484594,TRUE
AdaBoost_Medium_Tomek_0_Linear_Transform,144639,6132,22121,4500,0.498303615,0.703593719,0.423250564,0.16903948,0.241603123,TRUE
RUSB_Medium_Tomek_0_Linear_Transform,144599,6172,22144,4477,0.500436389,0.703430307,0.420415062,0.168175501,0.240258684,TRUE
EEC_Medium_Tomek_0_Linear_Transform,144640,6131,22349,4272,0.526004738,0.690474529,0.410650773,0.160474813,0.230781149,TRUE
Bagging_Medium_Tomek_0_Linear_Transform,145921,4850,23169,3452,0.81,0.691582723,0.41580342,0.129672063,0.197704817,TRUE
Bagging_Easy_Tomek_0_Linear_Transform,148863,1908,25426,1195,0.89,0.655330181,0.385111181,0.044889373,0.080422665,TRUE
BRFC_Easy_Tomek_0_r_target_Linear_Transform,149042,1729,25445,1176,0.921934825,0.660372759,0.404819276,0.044175651,0.079675057,TRUE
KBFC_Easy_Tomek_0_alpha_target_gamma_0_0_Linear_Transform,148927,1844,25602,1019,0.682433305,0.663270846,0.355920362,0.038278051,0.069138728,TRUE
EEC_Easy_Tomek_0_Linear_Transform,150262,509,26322,299,0.532404973,0.657435174,0.3700495,0.011231734,0.021820599,TRUE
LRC_Easy_Tomek_0_r_target_Linear_Transform,150300,471,26355,266,0.559876395,0.659176665,0.360922655,0.009992111,0.019464817,TRUE
RUSB_Easy_Tomek_0_Linear_Transform,150438,333,26441,180,0.500500162,0.658963851,0.350877186,0.006761579,0.013286745,TRUE
AdaBoost_Easy_Tomek_0_Linear_Transform,150453,318,26444,177,0.498981514,0.659143147,0.35757575,0.006648886,0.013074305,TRUE
BRFC_Hard_Tomek_0_r_target,111947,38824,7862,18759,0.695,0.798798441,0.325773232,0.704669246,0.445572133,FALSE
BRFC_Hard_Tomek_2_r_target,110925,39846,7685,18936,0.7045,0.799447328,0.32213943,0.711318132,0.443461882,FALSE
BRFC_Hard_Tomek_1_r_target,111107,39664,7770,18851,0.7045,0.79850811,0.322156712,0.708125164,0.442855794,FALSE
Bagging_Hard_Tomek_2,124347,26424,11839,14782,0.73,0.766471636,0.358734165,0.55527591,0.435884082,FALSE
Bagging_Hard_Tomek_0,125753,25018,12283,14338,0.7,0.763257023,0.364315479,0.538597348,0.434646685,FALSE
Bagging_Hard_Tomek_1,124719,26052,12001,14620,0.72,0.765137973,0.359461054,0.549190489,0.434528142,FALSE
KBFC_Hard_Tomek_0_alpha_target_gamma_2_0,125363,25408,12183,14438,0.566264481,0.775412802,0.362345028,0.542353781,0.434451547,FALSE
KBFC_Hard_Tomek_0_alpha_target_gamma_0_0,123706,27065,11732,14889,0.683800091,0.776075532,0.354888688,0.559295293,0.434250383,FALSE
KBFC_Hard_Tomek_1_alpha_target_gamma_1_0,125028,25743,12106,14515,0.605394685,0.776701327,0.360549456,0.545246234,0.434077911,FALSE
KBFC_Hard_Tomek_1_alpha_target_gamma_0_0,125361,25410,12204,14417,0.683341398,0.776033176,0.361990609,0.54156493,0.433943696,FALSE
KBFC_Hard_Tomek_0_alpha_target_gamma_5_0,126028,24743,12396,14225,0.530206974,0.773545527,0.365043112,0.534352579,0.433772113,FALSE
KBFC_Hard_Tomek_0_alpha_target_gamma_0_5,123260,27511,11644,14977,0.633519632,0.776169753,0.352499529,0.562600954,0.433441773,FALSE
KBFC_Hard_Tomek_1_alpha_target_gamma_0_5,125349,25422,12228,14393,0.638224656,0.775024396,0.361496923,0.540663386,0.433299575,FALSE
KBFC_Hard_Tomek_0_alpha_target_gamma_1_0,123943,26828,11850,14771,0.602909469,0.775698611,0.355080651,0.554862702,0.433050646,FALSE
KBFC_Hard_Tomek_1_alpha_target_gamma_5_0,124801,25970,12119,14502,0.539250379,0.773029683,0.358321803,0.544757898,0.432305897,FALSE
KBFC_Hard_Tomek_1_alpha_target_gamma_2_0,125536,25235,12333,14288,0.576094387,0.775524842,0.361511019,0.536719132,0.432037473,FALSE
KBFC_Hard_Tomek_2_alpha_target_gamma_0_0,116239,34532,9991,16630,0.727598535,0.776408003,0.325045932,0.62469479,0.427610857,FALSE
EEC_Hard_Tomek_0,102695,48076,8961,17660,0.526268141,0.732809977,0.268650359,0.663386049,0.382440846,FALSE
EEC_Hard_Tomek_2,100133,50638,8494,18127,0.528232304,0.732963752,0.26360794,0.68092859,0.380088693,FALSE
EEC_Hard_Tomek_1,100166,50605,8503,18118,0.527995115,0.733132495,0.263638083,0.680590511,0.380067328,FALSE
BRFC_Medium_Tomek_0_r_target,102777,47994,9285,17336,0.771832945,0.726429869,0.265360478,0.651215206,0.377082168,FALSE
KBFC_Medium_Tomek_0_alpha_target_gamma_0_0,118970,31801,13285,13336,0.703059188,0.714450993,0.295456056,0.50095789,0.371704414,FALSE
LRC_Hard_Tomek_2_r_target,139650,11121,18275,8346,0.518066553,0.755173282,0.428725535,0.313511889,0.362186946,FALSE
LRC_Hard_Tomek_1_r_target,139993,10778,18471,8150,0.516349253,0.755176977,0.430579036,0.306149281,0.35786666,FALSE
Bagging_Medium_Tomek_0,118314,32457,13857,12764,0.81,0.691584461,0.282258243,0.479471094,0.355345989,FALSE
EEC_Medium_Tomek_0,101551,49220,10729,15892,0.526004738,0.690474529,0.244071753,0.596972315,0.346495578,FALSE
RUSB_Hard_Tomek_2,63665,87106,3129,23492,0.500450903,0.754926597,0.212408904,0.882461215,0.342415308,FALSE
RUSB_Hard_Tomek_1,63251,87520,3060,23561,0.500448222,0.754824851,0.212106481,0.885053154,0.34221649,FALSE
RUSB_Hard_Tomek_0,62590,88181,3009,23612,0.500431605,0.754752888,0.211211793,0.886968934,0.341193147,FALSE
LRC_Hard_Tomek_0_r_target,141742,9029,19362,7259,0.488099437,0.755148242,0.44566552,0.272679464,0.338354517,FALSE
Bagging_Easy_Tomek_0,96779,53992,11058,15563,0.89,0.655330198,0.223750988,0.584613651,0.323647827,FALSE
EEC_Easy_Tomek_0,87239,63532,9339,17282,0.532404973,0.657435174,0.213849086,0.649186732,0.321732654,FALSE
KBFC_Easy_Tomek_0_alpha_target_gamma_0_0,123580,27191,16770,9851,0.682433305,0.663270845,0.265941364,0.370046204,0.309483588,FALSE
BRFC_Easy_Tomek_0_r_target,57800,92971,4994,21627,0.921934825,0.66037276,0.188720571,0.812403741,0.306304111,FALSE
RUSB_Medium_Tomek_0,42448,108323,2457,24164,0.500436389,0.703430307,0.182387706,0.907704444,0.303757796,FALSE
RUSB_Easy_Tomek_0,31879,118892,2026,24595,0.500500162,0.658963851,0.171409257,0.92389467,0.289183953,FALSE
LRC_Medium_Tomek_0_r_target,144362,6409,21990,4631,0.499330933,0.703559658,0.419474637,0.173960407,0.245942515,FALSE
AdaBoost_Hard_Tomek_2,147618,3153,23303,3318,0.49858116,0.754169065,0.512749188,0.124638443,0.200545558,FALSE
AdaBoost_Hard_Tomek_1,147836,2935,23461,3160,0.498534033,0.754314902,0.518457751,0.118703279,0.193191586,FALSE
AdaBoost_Hard_Tomek_0,148522,2249,24009,2612,0.498356753,0.754041889,0.537337995,0.098118027,0.165950868,FALSE
AdaBoost_Medium_Tomek_0,149651,1120,25441,1180,0.498303615,0.703593719,0.513043476,0.044325908,0.081618676,FALSE
LRC_Easy_Tomek_0_r_target,148593,2178,25581,1040,0.559876395,0.659176665,0.3231821,0.039066902,0.069723581,FALSE
AdaBoost_Easy_Tomek_0,150771,0,26621,0,0.498981514,0.659143147,0,0,0.00001,FALSE