AdaBoost_Easy_Tomek_0_Linear_Transform,150448,323,26435,186,0.498996149,0.657524134,1
AdaBoost_Hard_Tomek_0_Linear_Transform,141919,8852,19751,6870,0.498356791,0.752449981,1
AdaBoost_Hard_Tomek_1_Linear_Transform,141992,8779,19769,6852,0.498607166,0.752430402,1
AdaBoost_Hard_Tomek_2_Linear_Transform,142233,8538,19895,6726,0.498710082,0.752416923,1
AdaBoost_Medium_Tomek_0_Linear_Transform,145016,5755,22299,4322,0.49838001,0.703096445,1
BRFC_Easy_Tomek_0_Linear_Transform,148814,1957,25277,1344,0.914833846,0.660020453,1
BRFC_Hard_Tomek_0_r_target_Linear_Transform,141255,9516,16628,9993,0.695,0.798157176,1
BRFC_Hard_Tomek_1_Linear_Transform,141125,9646,16665,9956,0.7045,0.798605812,1
BRFC_Hard_Tomek_2_Linear_Transform,140984,9787,16647,9974,0.7045,0.797983067,1
BRFC_Medium_Tomek_0_Linear_Transform,142931,7840,20800,5821,0.772466667,0.72582053,1
Bagging_Easy_Tomek_0_Linear_Transform,148734,2037,25330,1291,0.88,0.654231978,1
Bagging_Hard_Tomek_0_Linear_Transform,143450,7321,19191,7430,0.71,0.760261722,1
Bagging_Hard_Tomek_1_Linear_Transform,142946,7825,18734,7887,0.72,0.765634747,1
Bagging_Hard_Tomek_2_Linear_Transform,142391,8380,18570,8051,0.72,0.764568846,1
Bagging_Medium_Tomek_0_Linear_Transform,146102,4669,23199,3422,0.81,0.69224182,1
EEC_Easy_Tomek_0_Linear_Transform,150453,318,26427,194,0.533595483,0.655296899,1
EEC_Hard_Tomek_0_Linear_Transform,143311,7460,21087,5534,0.527541837,0.731379961,1
EEC_Hard_Tomek_1_Linear_Transform,143280,7491,21064,5557,0.529476281,0.731468675,1
EEC_Hard_Tomek_2_Linear_Transform,143195,7576,21062,5559,0.529153652,0.731755097,1
EEC_Medium_Tomek_0_Linear_Transform,144673,6098,22335,4286,0.526153497,0.689823458,1
Ideal_Left_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,1
Ideal_Right_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,1
KBFC_Easy_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,150452,319,26401,220,0.58537838,0.658687731,1
KBFC_Hard_Tomek_0_alpha_target_gamma_0_0_Linear_Transform,141599,9172,18399,8222,0.66007514,0.772124799,1
KBFC_Hard_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,142447,8324,18942,7679,0.564021019,0.771974864,1
KBFC_Hard_Tomek_1_alpha_target_gamma_2_0_Linear_Transform,142034,8737,18591,8030,0.578510631,0.772541464,1
KBFC_Hard_Tomek_2_alpha_target_gamma_2_0_Linear_Transform,142246,8525,18747,7874,0.58227367,0.772114147,1
KBFC_Medium_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,144572,6199,21811,4810,0.570422817,0.709624922,1
LRC_Hard_Tomek_0_r_target_Linear_Transform,141558,9213,19479,7142,0.500182481,0.753408738,1
RUSB_Easy_Tomek_0_Linear_Transform,150410,361,26429,192,0.50050176,0.657550323,1
RUSB_Hard_Tomek_0_Linear_Transform,142665,8106,20103,6518,0.50045117,0.753186446,1
RUSB_Hard_Tomek_1_Linear_Transform,142116,8655,19807,6814,0.500458522,0.753228714,1
RUSB_Hard_Tomek_2_Linear_Transform,142634,8137,20133,6488,0.500471871,0.75296891,1
RUSB_Medium_Tomek_0_Linear_Transform,145068,5703,22333,4288,0.500446696,0.703166505,1